"DISTRICTID","DISTRICT_NAME","GRADE_RANGE","GEOID","DSB","NEEDS_INDEX","BOCES_CD","YEAR"
"271201","OPPENHEIM-EPHRATAH-ST. JOHNSVILLE CSD","K-12","","",4,"2090",2016
"280100","GLEN COVE CITY SD","PK-12, UE, US","3612180","280100",5,"2890",2016
"280201","HEMPSTEAD UFSD","PK-12, UE, US","3614130","280201",3,"2890",2016
"280202","UNIONDALE UFSD","K-12, UE, US","3629280","280202",3,"2890",2016
"280203","EAST MEADOW UFSD","K-12, UE, US","3609840","280203",6,"2890",2016
"280204","NORTH BELLMORE UFSD","PK-6, UE","3620940","280204",6,"2890",2016
"280205","LEVITTOWN UFSD","PK-12, UE, US","3617160","280205",5,"2890",2016
"280206","SEAFORD UFSD","K-12, UE, US","3626400","280206",6,"2890",2016
"280207","BELLMORE UFSD","PK-6, UE","3604410","280207",6,"2890",2016
"280208","ROOSEVELT UFSD","K-12, UE, US","3624990","280208",3,"2890",2016
"280209","FREEPORT UFSD","PK-12, UE, US","3611550","280209",3,"2890",2016
"280210","BALDWIN UFSD","K-12, UE, US","3603840","280210",6,"2890",2016
"280211","OCEANSIDE UFSD","K-12, UE, US","3621570","280211",6,"2890",2016
"280212","MALVERNE UFSD","K-12, UE","3618210","280212",5,"2890",2016
"280213","VALLEY STREAM 13 UFSD","K-6, UE","3629460","280213",5,"2890",2016
"280214","HEWLETT-WOODMERE UFSD","PK-12, UE, US","3631710","280214",6,"2890",2016
"280215","LAWRENCE UFSD","K-12, UE, US","3616830","280215",5,"2890",2016
"280216","ELMONT UFSD","PK-6, UE","3610620","280216",5,"2890",2016
"280217","FRANKLIN SQUARE UFSD","PK-7, UE","3611460","280217",6,"2890",2016
"280218","GARDEN CITY UFSD","K-12, UE, US","3611760","280218",6,"2890",2016
"280219","EAST ROCKAWAY UFSD","K-12, UE, US","3609960","280219",5,"2890",2016
"280220","LYNBROOK UFSD","K-12, UE, US","3617910","280220",6,"2890",2016
"280221","ROCKVILLE CENTRE UFSD","K-12, UE, US","3624780","280221",6,"2890",2016
"280222","FLORAL PARK-BELLEROSE UFSD","K-6, UE","3611160","280222",6,"2890",2016
"280223","WANTAGH UFSD","K-12, UE","3629850","280223",6,"2890",2016
"280224","VALLEY STREAM 24 UFSD","K-6, UE","3629430","280224",5,"2890",2016
"280225","MERRICK UFSD","K-6, UE, US","3619110","280225",6,"2890",2016
"280226","ISLAND TREES UFSD","K-12, UE, US","3615510","280226",5,"2890",2016
"280227","WEST HEMPSTEAD UFSD","K-12, UE, US","3630660","280227",5,"2890",2016
"280229","NORTH MERRICK UFSD","K-6, UE","3621120","280229",6,"2890",2016
"280230","VALLEY STREAM 30 UFSD","K-6, UE","3629490","280230",5,"2890",2016
"280231","ISLAND PARK UFSD","K-8, UE","3615480","280231",5,"2890",2016
"280251","VALLEY STREAM CENTRAL HS DISTRICT","7-12, US","3629520","280251",6,"2890",2016
