COUNTY_NAME,AMERICAN INDIAN OR ALASKA NATIVE,ASIAN OR PACIFIC ISLANDER,BLACK OR AFRICAN AMERICAN,ECONOMICALLY DISADVANTAGED,FEMALE,FORMERLY LIMITED ENGLISH PROFICIENT,GENERAL EDUCATION STUDENTS,HISPANIC OR LATINO,LIMITED ENGLISH PROFICIENT,MALE,MIGRANT,MULTIRACIAL,NOT ECONOMICALLY DISADVANTAGED,NOT LIMITED ENGLISH PROFICIENT,NOT MIGRANT,STUDENTS WITH DISABILITIES,WHITE,PCT_GRAD,COUNTY_CODE,ENGLISH LANGUAGE LEARNERS,NON-ENGLISH LANGUAGE LEARNERS,ENGLISH LANGUAGE LEARNER,NOT ENGLISH LANGUAGE LEARNER,FORMERLY ENGLISH LANGUAGE LEARNER,AMERICAN INDIAN/ALASKA NATIVE,ASIAN/PACIFIC ISLANDER,BLACK,HISPANIC,HOMELESS,IN FOSTER CARE,NOT HOMELESS,NOT IN FOSTER CARE,PARENT NOT IN ARMED FORCES,PARENT IN ARMED FORCES
WARREN,0.0,0.72,1.26,33.71,50.51,,78.43,1.43,,49.49,0.0,0.0,66.29,,0.0,11.93,61.35,89.03,63,,,0.0,0.0,,,,,,,,,,,
WASHINGTON,0.0,0.0,0.0,37.66,46.66,,66.32,0.38,,53.34,0.0,0.0,61.37,,0.0,12.9,23.89,82.75,64,,,0.0,0.0,,,,,,,,,,,
WAYNE,0.0,0.0,3.24,41.14,49.14,,82.85,3.04,,50.86,0.0,1.61,58.86,,0.0,10.55,78.49,89.65,65,,,0.0,0.0,,,,,,,,,,,
WESTCHESTER,0.0,4.75,13.15,33.76,48.82,,85.53,27.23,,50.79,0.0,0.79,54.9,,0.0,12.06,49.8,91.48,66,,,2.39,39.68,,,,,,,,,,,
WYOMING,0.0,0.0,0.0,37.41,49.26,,88.07,0.0,,50.74,0.0,0.0,62.59,,0.0,11.93,22.15,94.73,67,,,0.0,0.0,,,,,,,,,,,
YATES,0.0,0.0,0.0,47.41,47.06,,80.24,0.0,,52.94,0.0,0.0,52.59,,0.0,11.53,72.94,83.06,68,,,0.0,0.0,,,,,,,,,,,
ALBANY,0.0,8.1,18.74,32.82,47.04,,84.16,6.67,,48.82,0.0,0.91,67.18,,0.0,11.67,59.12,87.16,1,,,1.77,39.69,0.79,,,,,,,,,,
ALLEGANY,0.0,0.0,0.0,46.81,50.64,,48.14,0.0,,48.75,0.0,0.0,53.19,,0.0,8.11,27.38,91.84,2,,,0.0,0.0,0.0,,,,,,,,,,
BRONX,0.28,4.82,18.72,73.21,47.36,,74.19,56.45,,51.43,0.0,0.2,21.65,,0.0,18.72,3.04,73.39,32,,,11.24,55.28,5.11,,,,,,,,,,
BROOME,0.0,2.03,8.39,45.49,49.13,,85.06,4.42,,50.87,0.0,2.51,54.51,,0.0,13.41,70.5,87.71,3,,,0.46,23.93,0.12,,,,,,,,,,
