AGGREGATION_CODE,AMERICAN INDIAN OR ALASKA NATIVE,ASIAN OR PACIFIC ISLANDER,BLACK,ECONOMICALLY DISADVANTAGED,LIMITED ENGLISH PROFICIENT,FEMALE,GENERAL EDUCATION STUDENTS,HISPANIC,MALE,MIGRANT,MULTIRACIAL,NOT LIMITED ENGLISH PROFICIENT,NOT ECONOMICALLY DISADVANTAGED,NOT MIGRANT,STUDENTS WITH DISABILITIES,WHITE,PCT_GRAD,AGGREGATION_NAME,COUNTY_CODE,COUNTY_NAME,YEAR
61101040007,0.0,0.0,0.0,39.02,0.0,45.99,89.15,0.0,54.01,0.0,0.0,0.0,60.98,0.0,10.85,0.0,91.47,FALCONER MIDDLE/HIGH SCHOOL,6,CHAUTAUQUA,2016
61501040001,14.24,0.0,0.0,45.25,0.0,55.06,87.03,0.0,44.94,0.0,0.0,0.0,54.75,0.0,12.97,76.9,86.71,SILVER CREEK HIGH SCHOOL,6,CHAUTAUQUA,2016
61503040003,0.0,0.0,0.0,49.24,0.0,45.18,69.54,0.0,54.82,0.0,0.0,0.0,50.76,0.0,10.66,0.0,92.39,FORESTVILLE CENTRAL HIGH SCHOOL,6,CHAUTAUQUA,2016
61601040001,0.0,0.0,0.0,31.66,0.0,47.24,86.43,0.0,52.76,0.0,0.0,0.0,68.34,0.0,13.57,22.11,98.99,PANAMA HIGH SCHOOL,6,CHAUTAUQUA,2016
61700010013,0.0,0.0,4.3,64.8,2.77,48.25,86.66,18.08,51.75,0.0,8.53,97.23,35.2,0.0,13.34,67.27,77.99,JAMESTOWN HIGH SCHOOL,6,CHAUTAUQUA,2016
62201060003,0.0,0.0,0.0,31.61,0.0,46.49,92.77,9.09,53.51,0.0,0.0,0.0,68.39,0.0,7.23,85.33,91.74,FREDONIA HIGH SCHOOL,6,CHAUTAUQUA,2016
62301040003,0.0,0.0,0.0,49.38,0.0,38.89,64.81,0.0,61.11,0.0,0.0,0.0,50.62,0.0,11.11,0.0,93.21,BROCTON MIDDLE HIGH SCHOOL,6,CHAUTAUQUA,2016
62601040003,0.0,0.0,0.0,50.0,0.0,51.43,80.0,0.0,48.57,0.0,0.0,0.0,50.0,0.0,20.0,0.0,95.71,SHERMAN HIGH SCHOOL,6,CHAUTAUQUA,2016
62901040002,0.0,0.0,0.0,37.33,0.0,48.0,86.67,2.67,52.0,0.0,0.0,0.0,62.67,0.0,13.33,27.56,84.89,WESTFIELD HIGH SCHOOL,6,CHAUTAUQUA,2016
70600010020,0.0,0.0,17.45,50.67,0.0,48.24,86.14,1.86,51.76,0.0,0.0,0.0,49.33,0.0,13.86,78.45,68.7,ELMIRA HIGH SCHOOL,7,CHEMUNG,2016
70600010021,0.0,0.0,22.37,42.01,0.0,45.21,85.39,0.0,54.79,0.0,0.0,0.0,57.99,0.0,14.61,66.67,63.47,ERNIE DAVIS ACADEMY,7,CHEMUNG,2016
70901060007,0.0,2.56,0.99,30.14,0.0,51.11,93.56,2.48,48.89,0.0,0.41,0.0,69.86,0.0,6.44,91.99,87.86,HORSEHEADS SENIOR HIGH SCHOOL,7,CHEMUNG,2016
70902060002,0.0,0.0,0.0,38.94,0.0,46.2,87.13,0.0,53.8,0.0,0.0,0.0,61.06,0.0,12.87,45.21,83.83,THOMAS A EDISON HIGH SCHOOL,7,CHEMUNG,2016
80101040003,0.0,0.0,0.0,45.86,0.0,54.7,63.54,0.0,45.3,0.0,0.0,0.0,54.14,0.0,8.84,0.0,92.82,AFTON JUNIOR/SENIOR HIGH SCHOOL,8,CHENANGO,2016
80201040001,0.0,0.0,0.0,53.73,0.0,50.37,87.69,0.0,49.63,0.0,0.0,0.0,46.27,0.0,12.31,0.0,94.03,BAINBRIDGE-GUILFORD HIGH SCHOOL,8,CHENANGO,2016
