AGGREGATION_NAME,AMERICAN INDIAN/ALASKA NATIVE,ASIAN/PACIFIC ISLANDER,BLACK,ECONOMICALLY DISADVANTAGED,ENGLISH LANGUAGE LEARNER,FEMALE,FORMERLY ENGLISH LANGUAGE LEARNER,GENERAL EDUCATION STUDENTS,HISPANIC,HOMELESS,IN FOSTER CARE,MALE,MIGRANT,MULTIRACIAL,NOT ECONOMICALLY DISADVANTAGED,NOT ENGLISH LANGUAGE LEARNER,NOT HOMELESS,NOT MIGRANT,NOT IN FOSTER CARE,PARENT NOT IN ARMED FORCES,PARENT IN ARMED FORCES,STUDENTS WITH DISABILITIES,WHITE,PCT_GRAD,AGGREGATION_CODE,COUNTY_CODE,COUNTY_NAME
LIBERATION DIPLOMA PLUS HIGH SCHOOL,0.0,1.87,46.44,79.03,5.62,46.44,0.0,64.04,37.83,5.24,0.0,53.56,0.0,0.0,20.97,59.93,60.3,0.0,0.0,0.0,0.0,35.96,4.87,34.83,332100011728,33,KINGS
LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS,0.0,7.0,21.74,58.7,65.94,37.2,18.12,44.69,57.97,23.19,0.0,62.8,0.0,0.0,41.3,34.06,76.81,0.0,0.0,0.0,0.0,1.69,3.62,42.51,310200011550,31,NEW YORK
LIBERTY MIDDLE/HIGH SCHOOL,0.0,0.0,7.54,57.26,5.87,50.56,0.0,89.39,30.45,4.47,0.0,49.44,0.0,1.4,42.74,64.53,64.8,0.0,0.0,0.0,0.0,10.61,53.35,77.65,590901060006,59,SULLIVAN
LIFE ACADEMY HIGH SCHOOL FOR FILM AND MUSIC,0.0,6.32,45.26,71.58,0.0,51.05,0.0,77.37,29.47,2.63,0.0,48.95,0.0,0.0,28.42,0.0,31.58,0.0,0.0,0.0,0.0,22.63,11.05,93.42,332100011559,33,KINGS
LIFE SCIENCES SECONDARY SCHOOL,0.0,5.15,29.7,75.15,4.85,47.88,3.64,78.18,59.39,8.79,0.0,52.12,0.0,0.0,24.85,60.91,91.21,0.0,0.0,0.0,0.0,21.82,0.0,80.3,310200011655,31,NEW YORK
LINCOLN HIGH SCHOOL,0.0,0.73,18.97,89.84,4.16,49.57,0.86,82.5,66.46,0.61,0.0,50.43,0.0,0.0,10.16,95.84,33.66,0.0,0.0,0.0,0.0,17.5,10.4,88.31,662300010038,66,WESTCHESTER
LINDEN HILL SCHOOL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.14,660803020003,66,WESTCHESTER
LINDENHURST SENIOR HIGH SCHOOL,0.0,3.46,0.75,40.25,2.83,47.55,0.5,87.04,19.12,0.69,0.0,52.45,0.0,0.0,59.75,97.17,32.52,0.0,0.0,0.0,0.0,12.96,72.83,93.14,580104030010,58,SUFFOLK
LISBON CENTRAL SCHOOL,0.0,0.0,0.0,48.04,0.0,51.96,0.0,31.37,0.0,0.0,0.0,48.04,0.0,0.0,51.96,0.0,0.0,0.0,0.0,0.0,0.0,4.9,0.0,100.0,511602040002,51,SAINT LAWRENCE
LITTLE FALLS HIGH SCHOOL,0.0,0.0,0.0,51.39,0.0,46.61,0.0,84.06,0.0,0.0,0.0,53.39,0.0,0.0,48.61,0.0,0.0,0.0,0.0,0.0,0.0,15.94,29.08,85.26,210800050005,21,HERKIMER
LIVERPOOL HIGH SCHOOL,0.0,5.81,9.75,33.01,0.36,49.36,0.0,84.98,2.79,1.39,0.0,50.64,0.0,1.33,66.99,31.62,98.61,0.0,0.0,0.0,0.0,15.02,77.35,89.61,421501060011,42,ONONDAGA
LIVINGSTON MANOR HIGH SCHOOL,0.0,0.0,0.0,41.3,0.0,40.22,0.0,31.52,5.43,0.0,0.0,59.78,0.0,0.0,58.7,0.0,0.0,0.0,0.0,0.0,0.0,5.43,61.96,83.7,591302040004,59,SULLIVAN
LIVONIA SENIOR HIGH SCHOOL,0.0,0.0,0.0,29.41,0.0,50.9,0.0,90.79,0.0,1.28,0.0,49.1,0.0,0.0,70.59,0.0,32.74,0.0,0.0,0.0,0.0,9.21,0.0,92.84,240801060002,24,LIVINGSTON
LOCKPORT HIGH SCHOOL,0.0,0.0,14.32,47.93,0.0,51.26,0.0,84.95,5.77,2.97,0.0,48.74,0.0,2.07,52.07,0.0,97.03,0.0,0.0,0.0,0.0,15.05,75.23,90.0,400400010011,40,NIAGARA
LOCUST VALLEY HIGH SCHOOL,0.0,1.39,0.0,19.6,0.0,49.5,0.0,81.78,14.85,0.0,0.0,50.5,0.0,0.0,80.4,0.0,0.0,0.0,0.0,0.0,0.0,18.22,79.01,99.01,280503060003,28,NASSAU
LONG BEACH SENIOR HIGH SCHOOL,0.0,1.0,11.57,40.78,3.29,48.55,1.69,87.24,25.22,1.2,0.0,51.45,0.0,0.0,59.22,96.71,66.7,0.0,0.0,0.0,0.0,12.76,59.72,95.06,280300010008,28,NASSAU
LONG ISLAND CITY HIGH SCHOOL,0.45,16.78,12.17,79.06,9.22,48.98,7.41,83.67,61.3,5.29,0.0,51.02,0.0,0.45,20.94,90.78,94.71,0.0,0.0,0.0,0.0,16.33,7.79,76.42,343000011450,34,QUEENS
LONG LAKE CENTRAL SCHOOL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,200701040001,20,HAMILTON
LONGWOOD HIGH SCHOOL,0.54,3.44,19.46,51.25,3.24,49.14,0.69,82.51,25.8,2.9,0.0,50.86,0.0,2.11,48.75,96.76,97.1,0.0,0.0,0.0,0.0,17.49,47.42,89.61,580212060005,58,SUFFOLK
LONGWOOD PRE FOR TECHNOLOGY AND MEDIA DESIGN,0.0,0.0,17.32,86.59,6.7,44.13,0.0,66.48,64.25,14.53,0.0,55.87,0.0,0.0,13.41,64.25,85.47,0.0,0.0,0.0,0.0,33.52,0.0,62.29,320800011530,32,BRONX
LOWER EAST SIDE PREPARATORY SCHOOL,0.0,55.0,12.64,52.08,56.67,45.56,13.19,93.47,29.31,13.33,0.0,54.44,0.0,0.0,47.92,43.33,86.67,0.0,0.0,0.0,0.0,6.53,0.97,46.6,310100011515,31,NEW YORK
LOWER MANHATTAN ARTS ACADEMY,0.0,7.11,26.54,65.4,0.0,69.67,0.0,65.88,55.45,3.79,0.0,30.33,0.0,0.0,34.6,0.0,27.49,0.0,0.0,0.0,0.0,34.12,0.0,84.36,310200011308,31,NEW YORK
LOWVILLE HIGH SCHOOL,0.0,0.0,0.0,42.86,0.0,48.84,0.0,89.7,0.0,0.0,0.0,51.16,0.0,0.0,57.14,0.0,0.0,0.0,0.0,0.0,0.0,10.3,94.35,94.35,230901040002,23,LEWIS
LYME CENTRAL SCHOOL,0.0,0.0,0.0,53.42,0.0,50.68,0.0,0.0,0.0,0.0,0.0,49.32,0.0,0.0,46.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.52,221301040001,22,JEFFERSON
LYNBROOK SENIOR HIGH SCHOOL,0.0,6.1,0.74,16.96,0.0,45.83,0.0,87.95,13.24,0.0,0.0,54.17,0.0,0.0,83.04,0.0,0.0,0.0,0.0,0.0,0.0,12.05,76.04,96.21,280220030007,28,NASSAU
LYONS COMMUNITY SCHOOL,0.0,0.0,10.0,87.92,11.25,43.75,2.5,79.58,64.17,10.0,0.0,56.25,0.0,0.0,12.08,88.75,90.0,0.0,0.0,0.0,0.0,20.42,0.0,75.83,331400011586,33,KINGS
