,AGGREGATION_NAME,AMERICAN INDIAN OR ALASKA NATIVE,ASIAN OR PACIFIC ISLANDER,BLACK,ECONOMICALLY DISADVANTAGED,FEMALE,FORMERLY LIMITED ENGLISH PROFICIENT,GENERAL EDUCATION STUDENTS,HISPANIC,LIMITED ENGLISH PROFICIENT,MALE,MIGRANT,MULTIRACIAL,NOT ECONOMICALLY DISADVANTAGED,NOT LIMITED ENGLISH PROFICIENT,NOT MIGRANT,STUDENTS WITH DISABILITIES,WHITE,PCT_GRAD,AGGREGATION_CODE,COUNTY_CODE,COUNTY_NAME,YEAR,HOMELESS,IN FOSTER CARE,NOT HOMELESS,NOT IN FOSTER CARE,PARENT NOT IN ARMED FORCES,PARENT IN ARMED FORCES,NUM_OUT_CERT,PER_TEACH_INEXP,PER_OUT_CERT,NRC_CODE,CHARTER
67,ALFRED-ALMOND JUNIOR-SENIOR HIGH SCH,0.0,0.0,0.0,34.74,41.58,0.0,85.79,0.0,0.0,58.42,0.0,0.0,65.26,0.0,0.0,14.21,0.0,93.68,20101040002,2,ALLEGANY,2017,0.0,0.0,0.0,0.0,0.0,0.0,6.0,16.46,7.59,5.0,False
68,ALFRED-ALMOND JUNIOR-SENIOR HIGH SCH,0.0,0.0,0.0,34.04,50.53,0.0,42.55,0.0,0.0,49.47,0.0,0.0,65.96,0.0,0.0,6.38,0.0,93.09,20101040002,2,ALLEGANY,2018,0.0,0.0,0.0,0.0,0.0,0.0,4.0,33.33,14.81,5.0,False
69,ALFRED-ALMOND JUNIOR-SENIOR HIGH SCHOOL,0.0,0.0,0.0,34.06,47.1,0.0,55.8,0.0,0.0,52.9,0.0,0.0,65.94,0.0,0.0,9.42,31.16,92.75,20101040002,2,ALLEGANY,2019,0.0,0.0,0.0,0.0,0.0,0.0,8.0,28.33,15.09,5.0,False
70,ANDOVER SCHOOL,0.0,0.0,0.0,43.4,50.0,0.0,92.45,0.0,0.0,50.0,0.0,0.0,56.6,100.0,100.0,7.55,100.0,90.57,20601040001,2,ALLEGANY,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.38,0.0,4.0,False
71,ANDOVER SCHOOL,0.0,0.0,0.0,41.0,51.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,90.0,20601040001,2,ALLEGANY,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.64,0.0,4.0,False
72,ANDOVER SCHOOL,0.0,0.0,0.0,41.75,40.78,0.0,0.0,0.0,0.0,59.22,0.0,0.0,58.25,0.0,0.0,0.0,0.0,93.2,20601040001,2,ALLEGANY,2017,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.11,1.59,4.0,False
73,ANDOVER SCHOOL,0.0,0.0,0.0,45.92,46.94,0.0,0.0,0.0,0.0,53.06,0.0,0.0,54.08,0.0,0.0,0.0,0.0,91.84,20601040001,2,ALLEGANY,2018,0.0,0.0,0.0,0.0,0.0,0.0,2.0,37.04,5.71,4.0,False
74,ANDOVER SCHOOL,0.0,0.0,0.0,43.66,49.3,0.0,0.0,0.0,0.0,50.7,0.0,0.0,56.34,0.0,0.0,0.0,0.0,92.96,20601040001,2,ALLEGANY,2019,0.0,0.0,0.0,0.0,0.0,0.0,4.0,31.37,5.48,4.0,False
75,GENESEE VALLEY CENTRAL SCHOOL,0.0,0.0,1.2,41.32,43.71,0.0,84.43,0.0,0.0,56.29,0.0,0.0,58.68,100.0,100.0,15.57,98.8,88.02,20702040001,2,ALLEGANY,2015,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,1.71,4.0,False
76,GENESEE VALLEY CENTRAL SCHOOL,0.0,0.0,0.0,44.5,46.6,0.0,38.74,0.0,0.0,53.4,0.0,0.0,55.5,0.0,0.0,6.81,0.0,90.58,20702040001,2,ALLEGANY,2016,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.56,2.78,4.0,False
77,GENESEE VALLEY CENTRAL SCHOOL,0.0,0.0,0.0,45.45,45.99,0.0,60.43,0.0,0.0,54.01,0.0,0.0,54.55,0.0,0.0,11.76,0.0,91.98,20702040001,2,ALLEGANY,2017,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.43,2.26,4.0,False
78,GENESEE VALLEY CENTRAL SCHOOL,0.0,0.0,0.0,45.21,45.21,0.0,62.77,0.0,0.0,54.79,0.0,0.0,54.79,0.0,0.0,9.04,0.0,90.43,20702040001,2,ALLEGANY,2018,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19.64,1.61,4.0,False
